U51336_at,492,419,238,268,214,200,252,228,199,277,173,240,254,207,207,302,462,446,262,216,296,192,199,79,143,169,275,212,152,124,84,167,331,168,254,329,238,156,106,216,150,759,167,249,239,367,148,107,96,96,146,184,147,433,160,145,139,170,411,322,248,281,237,626,678,593,590,630,668,,-0.8603723042,5.6150829566,-0.4817092926,-18.3425124042,0.8603723042,2.1590931251,0.6001872161,-3.9850191349,-5.2690984166,-2.1590931251,-3.3930557572,-25.5429466532,0.4817092926,-0.6001872161,3.3930557572,-10.1545126161,18.3425124042,3.9850191349,25.5429466532,10.1545126161
M62302_at,36,34,65,82,54,103,20,20,20,20,28,22,20,49,20,20,20,107,34,69,20,20,20,20,20,37,20,20,20,20,20,20,21,20,122,34,20,43,20,81,138,97,152,202,120,127,83,20,20,20,20,20,20,747,502,523,34,47,699,29,453,237,142,320,343,359,374,378,341,,-6.1636926434,0.7355508351,-3.4819311262,-31.7496812606,6.1636926434,5.8597468941,-2.3627157063,-12.7223934502,-0.6396035928,-5.8597468941,-3.5403296562,-25.4074132993,3.4819311262,2.3627157063,3.5403296562,-0.1269657217,31.7496812606,12.7223934502,25.4074132993,0.1269657217
U52828_s_at,393,546,444,431,221,299,366,75,127,129,35,86,70,98,45,243,200,198,296,176,312,170,60,80,69,357,88,129,91,323,157,57,25,173,177,176,204,274,151,203,106,957,165,381,200,369,20,20,20,20,20,20,20,423,244,361,31,151,467,20,544,288,204,708,833,657,846,737,797,,-1.3107501362,8.4088481613,-1.330192863,-15.4641412425,1.3107501362,2.9139443103,0.5415837724,-3.7087172311,-8.4088481613,-2.9139443103,-4.5043887839,-24.3717929365,1.330192863,-0.5415837724,4.5043887839,-7.6556121322,15.4641412425,3.7087172311,24.3717929365,7.6556121322
U32331_at,46,146,62,23,28,30,20,22,33,34,20,20,20,21,26,20,22,20,20,20,20,20,43,20,20,20,20,20,20,20,53,77,24,43,34,22,20,32,20,20,25,32,47,58,20,20,20,26,20,20,20,24,20,106,78,117,109,61,66,123,375,237,231,202,256,257,248,223,246,,-0.1348861218,2.4857055829,-3.7465188733,-21.61571722,0.1348861218,1.7694815707,-3.6828906665,-19.5724467987,-2.4624549979,-1.7694815707,-4.0655511718,-24.3169924733,3.7465188733,3.6828906665,4.0655511718,-2.6854317954,21.61571722,19.5724467987,24.3169924733,2.6854317954
X51405_at,362,629,829,399,737,696,565,95,263,93,168,92,176,135,20,107,311,176,340,210,284,95,200,178,447,495,72,271,709,337,514,590,167,127,488,226,268,723,538,40,22,305,197,229,105,662,83,20,20,20,20,118,135,189,133,119,95,121,176,163,341,31,288,602,739,697,628,606,699,,1.2620853974,7.048132593,3.7226544651,-7.6005705479,-1.2620853974,1.9213074864,0.6530643859,-5.1017502678,-6.8027352168,-1.9213074864,-3.0530621322,-19.7951084599,-3.7226544651,-0.6530643859,3.0530621322,-13.3700582379,7.6005705479,5.1017502678,19.7951084599,13.3700582379
M59488_at,20,46,29,32,36,40,20,33,73,70,20,50,71,57,194,20,40,33,45,213,67,29,54,23,28,25,51,20,43,41,20,77,39,58,131,31,32,30,27,127,184,306,257,264,219,122,20,20,20,20,25,20,20,659,361,553,80,30,655,55,454,20,78,494,605,462,630,596,567,,-5.8596431893,4.3841613813,-2.8515492481,-18.133415101,5.8596431893,7.1615280009,-0.9311771996,-9.1364495384,-4.3768916259,-7.1615280009,-3.209052144,-19.7702820431,2.8515492481,0.9311771996,3.209052144,-2.9536525196,18.133415101,9.1364495384,19.7702820431,2.9536525196
M94151_at,33,62,20,68,20,33,20,20,33,20,20,20,20,20,20,20,20,20,20,71,20,28,20,20,20,20,34,20,20,20,20,20,20,20,24,34,31,27,20,75,29,68,20,138,22,86,20,20,20,20,20,20,20,125,151,130,20,20,34,20,229,89,102,196,164,145,161,169,191,,-2.2344385387,2.9445377683,-2.9737557423,-17.8227826401,2.2344385387,2.6296278762,-1.0754086014,-6.0248468967,-2.9445377683,-2.6296278762,-3.2634505618,-19.2080248871,2.9737557423,1.0754086014,3.2634505618,-3.3730034267,17.8227826401,6.0248468967,19.2080248871,3.3730034267
U90916_at,51,20,20,54,20,20,20,23,22,20,20,20,20,20,20,20,20,20,20,29,20,20,20,20,20,20,20,20,20,20,20,20,20,20,44,21,20,20,20,20,33,77,45,55,88,167,33,20,20,30,20,20,20,67,134,72,47,26,52,20,114,87,85,196,239,192,197,214,248,,-2.5031070003,-0.2791473301,-4.1340226383,-19.4003726314,2.5031070003,2.4595684249,-0.051030148,-6.9063405869,0.2466432987,-2.4595684249,-4.0365735634,-19.0556091104,4.1340226383,0.051030148,4.0365735634,-9.5418948662,19.4003726314,6.9063405869,19.0556091104,9.5418948662
X59812_at,35,36,20,22,90,83,36,23,150,33,20,53,33,41,146,39,37,20,20,45,79,40,20,20,51,78,44,46,78,20,20,128,20,20,45,34,29,83,67,20,23,46,40,20,20,44,20,20,20,20,20,20,31,199,164,148,104,20,129,58,83,44,100,156,184,149,143,142,182,,2.5606109826,4.8247674336,-3.0157204034,-11.6224400189,-2.5606109826,1.8120703874,-4.0563922846,-14.2642109236,-4.7696967709,-1.8120703874,-4.6720878774,-17.3959226966,3.0157204034,4.0563922846,4.6720878774,-2.8076453367,11.6224400189,14.2642109236,17.3959226966,2.8076453367
D87470_at,84,151,166,106,88,169,83,44,86,35,20,70,41,20,51,55,70,55,76,52,71,40,39,65,20,100,32,58,104,76,20,60,60,67,92,47,47,141,35,98,47,143,92,130,70,67,78,74,74,67,67,61,20,96,106,100,115,111,127,82,253,105,109,228,266,227,235,220,236,,-1.6114874399,0.7006283651,-3.1292084432,-18.5111271247,1.6114874399,1.9500022976,-1.3935028925,-9.7445234843,-0.6344249985,-1.9500022976,-3.3872708138,-17.2930010534,3.1292084432,1.3935028925,3.3872708138,-6.9374151151,18.5111271247,9.7445234843,17.2930010534,6.9374151151
S76475_at,325,266,239,304,104,246,20,363,754,329,52,224,765,124,28,172,245,515,39,397,309,39,421,115,258,47,20,174,70,23,220,404,32,267,194,340,232,124,20,60,27,49,32,90,53,71,20,20,20,20,20,20,20,48,33,51,20,20,26,20,132,65,32,128,154,111,156,146,143,,5.6235219923,7.017906768,5.7955291619,2.8634181198,-5.6235219923,4.1911438609,0.7249834465,-7.8530221013,-7.017906768,-4.1911438609,-2.2800431728,-17.0297167071,-5.7955291619,-0.7249834465,2.2800431728,-7.3545910874,-2.8634181198,7.8530221013,17.0297167071,7.3545910874
X73608_at,62,237,108,52,213,123,41,73,82,69,75,162,80,497,66,122,106,65,476,139,299,68,69,211,100,417,84,93,728,71,90,248,123,66,188,130,79,127,41,58,82,155,105,328,222,150,39,46,31,36,36,36,59,36,39,37,52,63,32,29,46,35,32,230,282,289,306,241,242,,-0.0295237334,4.8860226421,4.889222071,-4.0880283245,0.0295237334,3.3114577359,3.3225283984,-2.8905965944,-4.8696791416,-3.3114577359,0.0674540948,-16.9735632162,-4.889222071,-3.3225283984,-0.0674540948,-17.0622138441,4.0880283245,2.8905965944,16.9735632162,17.0622138441
D87465_at,154,515,323,141,465,487,27,80,404,109,20,530,31,20,54,226,61,362,72,150,102,55,231,78,644,80,104,28,431,449,27,67,58,35,394,20,47,586,43,53,67,434,137,509,170,379,35,33,33,20,20,54,36,536,311,257,72,51,465,20,413,351,97,533,731,551,684,736,710,,-0.67673207,5.266823103,-0.8914052597,-9.46476153,0.67673207,3.0680150824,-0.0808043951,-5.1064083126,-5.2516530462,-3.0680150824,-3.7774813046,-16.6054381684,0.8914052597,0.0808043951,3.7774813046,-5.7157264138,9.46476153,5.1064083126,16.6054381684,5.7157264138
D87077_at,56,113,120,83,200,121,94,20,37,20,20,25,20,20,20,23,53,34,87,21,41,23,37,20,105,86,20,31,65,34,41,26,32,20,72,46,49,91,52,21,20,20,20,20,20,20,20,20,20,21,24,22,20,60,99,66,75,54,68,68,73,91,57,67,66,65,51,66,63,,5.1871752574,5.039880398,-2.2742339273,-1.4196021632,-5.1871752574,-1.4411533842,-11.2249699548,-17.3707629754,-5.0337496221,1.4411533842,-10.9533093353,-16.6019577159,2.2742339273,11.2249699548,10.9533093353,1.5689178401,1.4196021632,17.3707629754,16.6019577159,-1.5689178401
X84195_at,58,82,60,56,54,74,41,59,64,48,61,117,43,46,79,40,45,62,47,87,56,30,34,20,28,66,76,53,46,21,20,20,25,61,80,40,55,46,48,51,82,60,152,67,84,133,55,45,20,20,34,25,23,90,84,119,50,50,108,32,103,113,75,151,156,153,185,173,187,,-2.5215550498,3.8080128593,-2.9696329883,-15.4269138191,2.5215550498,3.7943048799,0.4317787395,-4.885744441,-3.3816754283,-3.7943048799,-4.6905363216,-16.1106708848,2.9696329883,-0.4317787395,4.6905363216,-7.3378733521,15.4269138191,4.885744441,16.1106708848,7.3378733521
X79353_at,396,707,624,708,598,704,564,151,144,141,41,290,92,51,91,152,323,508,337,260,177,212,845,566,178,478,246,277,262,314,319,147,161,198,546,408,339,549,224,320,368,126,273,370,293,301,236,188,249,329,219,207,149,282,444,380,476,431,446,376,499,529,402,621,664,599,641,576,644,,1.0610124431,3.04786731,-2.0901920152,-7.7815603167,-1.0610124431,1.7967482974,-3.4834036759,-9.800783703,-2.9152625185,-1.7967482974,-6.5143962589,-15.9294698119,2.0901920152,3.4834036759,6.5143962589,-7.6055023642,7.7815603167,9.800783703,15.9294698119,7.6055023642
L38932_at,20,20,75,91,122,185,123,24,138,164,20,36,131,20,102,20,20,20,20,20,119,81,134,159,230,62,127,132,52,42,200,210,34,20,20,20,20,50,20,20,83,44,70,72,20,20,20,20,20,20,21,20,20,20,55,99,68,53,20,76,61,158,129,121,143,114,161,135,122,,2.2069713517,5.7415589791,0.3258882544,-4.2307947171,-2.2069713517,2.5533173353,-1.5387595285,-6.7501482816,-5.741394889,-2.5533173353,-3.849548159,-15.8398083384,-0.3258882544,1.5387595285,3.849548159,-3.7511572278,4.2307947171,6.7501482816,15.8398083384,3.7511572278
X77197_at,27,78,126,28,122,100,121,37,56,21,20,53,63,103,31,79,28,20,66,36,65,42,28,131,127,127,25,20,110,82,97,58,40,28,46,30,32,142,36,32,32,35,30,48,20,20,20,20,20,20,24,20,22,60,50,41,23,20,35,20,52,30,24,51,49,53,54,52,42,,4.4944422703,6.7764536008,3.605239278,2.0574423944,-4.4944422703,2.7657673243,-0.7678550556,-4.7537362258,-6.7674404246,-2.7657673243,-3.1503683766,-15.6334634831,-3.605239278,0.7678550556,3.1503683766,-2.9685040653,-2.0574423944,4.7537362258,15.6334634831,2.9685040653
M16447_at,89,88,106,78,75,102,52,20,30,35,34,44,45,24,32,42,38,47,57,34,24,29,32,33,20,75,42,36,40,48,20,35,83,44,89,70,97,69,50,70,77,82,117,109,34,74,84,37,40,101,58,65,42,45,36,97,108,111,51,70,105,134,113,231,253,228,220,233,200,,-2.6136617664,-1.098712113,-3.1113939834,-21.6198154985,2.6136617664,1.4072312482,-0.4423476828,-11.7487954145,0.9503690376,-1.4072312482,-1.8464669631,-14.3684817845,3.1113939834,0.4423476828,1.8464669631,-10.9591479495,21.6198154985,11.7487954145,14.3684817845,10.9591479495
